Requete;Triplet_1;Triplet_2;Triplet_3;Triplet_4;Estimation_1;Estimation_2;Estimation_3;Estimation_4
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City119 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City119;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;2;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City122 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City122;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;3;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City35 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City35;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;13;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City154 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City154;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;3;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City30 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City30;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;9;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City3 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City3;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;75;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City51 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City51;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;8;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City49 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City49;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;6;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City49 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City49;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;6;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City216 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City216;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;0;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;151;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City30 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City30;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;9;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City44 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City44;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;2;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City78 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City78;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;4;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;151;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City146 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City146;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;1;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;151;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;151;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City187 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City187;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;3;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City0 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;332;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City0 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;332;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City6 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City6;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;43;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City0 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;332;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City82 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City82;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;7;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;151;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City2 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City2;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;112;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City35 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City35;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;13;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City1;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;151;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City2 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City2;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;112;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City77 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City77;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;6;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City5 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City5;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;62;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City7 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City7;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;30;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City112 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City112;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;3;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City150 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City150;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;2;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City6 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City6;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender0;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;;43;733;1053;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City2 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City2;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;112;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City87 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City87;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;1;1053;2308;;
Select ?v0 WHERE {?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City127 . ?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1 . ?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2};?v0 http://purl.org/dc/terms/Location http://db.uwaterloo.ca/~galuc/wsdbm/City127;?v0 http://www.w3.org/1999/02/22-rdf-syntax-ns#type http://db.uwaterloo.ca/~galuc/wsdbm/Role2;?v0 http://db.uwaterloo.ca/~galuc/wsdbm/gender http://db.uwaterloo.ca/~galuc/wsdbm/Gender1;;2;1053;2308;;
